panel_id,author,title,type,abstract
dem_back,Jane Doe,"Material Interventions and Legislative Performance",paper,"This paper investigates whether rubber ducks placed in parliamentary chambers improve legislative outcomes. Drawing on extensive fieldwork involving sock puppets and interpretive dance from 2010 to 2024, we construct a composite measure of vibes. Our findings reveal that office plants consistently outperform elected officials on key metrics of photosynthesis."
dem_back,John Smith,"Persuasive Framing and Institutional Menu Reform",paper,"We analyze how persuasive sandwich-making techniques can be used to consolidate lunch orders. Using a comparative case study design covering three cafeterias, we trace the rhetorical strategies employed to legitimize the replacement of soup with salad. Our qualitative analysis reveals common framing patterns that present broccoli as cake."
dem_back,Jane Johnson,"Adaptive Strategies Under Environmental Disruption",presentation,"This presentation examines how cats adapt their napping strategies in contexts of increasing vacuum cleaner usage. Based on expert interviews with goldfish and parliamentary data from five aquariums, we identify three distinct strategic repertoires: hiding under couches, knocking things off tables, and performative indifference."
comp_methods,John Doe,"Transformer Models for Cross-Domain Breakfast Classification",paper,"We introduce a fine-tuned toaster for analyzing breakfast debates across six European kitchens. Our model achieves state-of-the-art performance on toast classification, jam detection, and butter distribution optimization. We demonstrate that cross-continental marmalade transfer learning substantially reduces the crumb burden for under-resourced pantries."
comp_methods,Jane Williams,"Network Detection of Resource Allocation Patterns",lightning,"This lightning talk presents a dynamic network analysis of friendship bracelet exchange patterns in the European Parliament. We show how community detection algorithms can identify who borrowed whose stapler in real time."
comp_methods,John Brown,"Automated Event Coding Using Generative Text Sources",paper,"We develop an automated pigeon counting system using large language models trained exclusively on fortune cookie messages. Compared to existing dictionary-based and interpretive dance approaches, our method achieves substantially higher confusion while maintaining a straight face. We validate our system against the Gold Standard recipe for chocolate cake."
pol_comm,Jane Miller,"Visual Framing Strategies of Political Actors Online",paper,"This paper investigates how political actors frame pictures of their lunch on social media platforms. Analyzing over 500,000 photos of sandwiches from elected officials across eight countries, we identify five dominant condiment strategies. We find that mustard generates the most public engagement, while mayonnaise is most common among ambidextrous politicians."
pol_comm,John Davis,"Experimental Evidence on Resilience to Atmospheric Misinformation",paper,"We present results from a large-scale experiment testing the effectiveness of different hat-wearing interventions on umbrella resilience. Our factorial design allows us to disentangle the effects of top hats, berets, and novelty foam fingers. Results suggest that wearing socks on one's hands produces the most durable improvements in cloud identification."
pol_comm,Jane Wilson,"Audio Media Consumption and Factual Knowledge Acquisition",lightning,"A lightning talk exploring the relationship between competitive yodeling and factual knowledge about penguins using panel survey data from a moving train."
inst_trust,John Taylor,"Quality Perceptions and Trust in Automated Service Provision",paper,"This paper examines the causal relationship between perceptions of cheese quality and trust in vending machines. Using a conjoint experiment embedded in a ball pit, we show that cheddar cues have a stronger effect on snack legitimacy judgments than outcome crunchiness, but that this effect is moderated by prior exposure to elevator music."
inst_trust,Jane Anderson,"Public Acceptance of Stochastic Decision-Making in Governance",paper,"We study public attitudes toward the use of magic eight balls in government decision-making processes. Our vignette experiment reveals that coin-flipping reduces trust in government institutions, particularly when decisions involve choosing pizza toppings. Transparency about dice-rolling has mixed effects depending on whether pineapple is involved."
inst_trust,John Thomas,"Mediating Mechanisms Between External Conditions and Evaluative Satisfaction",presentation,"This presentation analyzes the mediating role of sock puppet opinions in the relationship between weather patterns and satisfaction with the color blue across 28 varieties of houseplant using multilevel interpretive origami modeling."
